10yard	mame	10-Yard Fight (World, set 1)
10yard85	mame	10-Yard Fight '85 (US, Taito license)
10yardj	mame	10-Yard Fight (Japan)
1941	cps1	1941 - Counter Attack (900227 World)
1941j	cps1	1941 - Counter Attack (Japan)
1941r1	cps1	1941 - Counter Attack (World)
1941u	cps1	1941 - Counter Attack (900227 USA)
1942	mame	1942 (Revision B)
1942a	mame	1942 (Revision A)
1942abl	mame	1942 (Revision A, bootleg)
1942b	mame	1942 (First Version)
1942c64	mame	1942 (C64 Music)
1942h	mame	Supercharger 1942
1942w	mame	1942 (Williams Electronics license)
1943	mame	1943: The Battle of Midway (Euro)
1943b	mame	1943: The Battle of Midway (bootleg set 1, hack of Jap
1943b2	mame	1943: The Battle of Midway (bootleg set 2, hack of Jap
1943bj	mame	1943: Midway Kaisen (bootleg)
1943j	mame	1943: Midway Kaisen (Japan, Rev B)
1943ja	mame	1943: Midway Kaisen (Japan)
1943jah	mame	1943: Midway Kaisen (Japan, no protection hack)
1943kai	mame	1943 Kai: Midway Kaisen (Japan)
1943mii	mame	1943: The Battle of Midway Mark II (US)
1943u	mame	1943: The Battle of Midway (US, Rev C)
1943ua	mame	1943: The Battle of Midway (US)
1944	cps2	1944 - the loop master (000620 USA)
1944ad	cps2	1944 - the loop master (000620 USA Phoenix Edition, al
1944d	cps2	1944 - the loop master (000620 USA Phoenix Edition)
1944j	cps2	1944 - the loop master (000620 Japan)
1945kiii	mame	1945k III (newer, OPCX2 PCB)
1945kiiin	mame	1945k III (newer, OPCX1 PCB)
1945kiiio	mame	1945k III (older, OPCX1 PCB)
19xx	cps2	19XX - the war against destiny (951207 USA)
19xxa	cps2	19XX - the war against destiny (960104 Asia)
19xxar1	cps2	19XX - the war against destiny (951207 Asia)
19xxb	cps2	19XX - the war against destiny (951218 Brazil)
19xxd	cps2	19XX - the war against destiny (951207 USA Phoenix Edi
19xxh	cps2	19XX - the war against destiny (951218 Hispanic)
19xxj	cps2	19XX - the war against destiny (960104 Japan, yellow c
19xxjr1	cps2	19XX - the war against destiny (951225 Japan)
19xxjr2	cps2	19XX - the war against destiny (951207 Japan)
2020bb	neogeo	2020 Super Baseball (set 1)
2020bba	neogeo	2020 Super Baseball (set 2)
2020bbh	neogeo	2020 Super Baseball (set 3)
20pacgal	mame	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re
20pacgalr0	mame	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re
20pacgalr1	mame	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re
20pacgalr2	mame	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re
20pacgalr3	mame	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re
20pacgalr4	mame	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Re
25pacman	mame	Pac-Man - 25th Anniversary Edition (Rev 3.00)
25pacmano	mame	Pac-Man - 25th Anniversary Edition (Rev 2.00)
3countb	neogeo	3 Count Bout / Fire Suplex (NGM-043)(NGH-043)
3countba	neogeo	3 Count Bout / Fire Suplex (NGM-043)
3in1semi	mame	XESS - The New Revolution (SemiCom 3-in-1)
3kokushi	mame	Sankokushi (Japan)
3wonders	cps1	Three Wonders (wonder 3 910520 etc)
3wondersb	cps1	Three Wonders (bootleg set 2, wonder 3 910520 etc)
3wondersh	cps1	Three Wonders (bootleg set 1, wonder 3 910520 etc)
3wondersha	cps1	Three Wonders (bootleg set 3, wonder 3 910520 etc)
3wondersr1	cps1	Three Wonders (wonder 3 910513 etc)
3wondersu	cps1	Three Wonders (wonder 3 910520 USA)
3x3puzzl	mame	3X3 Puzzle (Enterprise)
3x3puzzla	mame	3X3 Puzzle (Normal)
4dwarrio	mame	4-D Warriors (315-5162)
4enraya	mame	4 En Raya (set 1)
4enrayaa	mame	4 En Raya (set 2)
4in1	mame	4 Fun in 1
4in1boot	mame	Puzzle King
4play	neogeo	4 player input test
600	mame	600
64street	mame	64th. Street - A Detective Story (World)
64streetj	mame	64th. Street - A Detective Story (Japan, set 1)
64streetja	mame	64th. Street - A Detective Story (Japan, alt)
7ordi	mame	7 Ordi (Korea)
7toitsu	mame	Chi-Toitsu
800fath	mame	800 Fathoms
88games	mame	'88 Games
